q1_bar,q2_bar,q1_dot_bar,q2_dot_bar,u1_bar,u2_bar
-1.5654929088999938,0.0009382185696241803,0.1511704595741553,0.0012213487563600563,-0.06397460789463251,-0.012644738022171207
-1.5606973871752725,0.0009555425604865801,0.23085972027677956,0.0004432993766201907,-0.13040799745598952,-0.032985153100116335
-1.5540303339067227,0.0009743200625986329,0.30090392135932176,0.001337631576732366,-0.06471085876316209,-0.01289105390822948
-1.5455364625598338,0.0009909355883053381,0.37720837700962373,0.00036983001162903793,-0.13012387848077395,-0.03292657231080544
-1.5352395683772826,0.001011722579809556,0.4451473777145818,0.0016713495754286207,-0.06533402564665168,-0.013060639592419801
-1.523178530983811,0.0010515502737199285,0.5184539990948912,0.001558382137301178,-0.1298399417801002,-0.03276469097933671
-1.5093809895345587,0.0010918174699748714,0.5840687437792557,0.0017065101586941091,-0.06588218643535865,-0.013249649565755068
-1.4938815106926249,0.0010915836691463697,0.6545995320601429,-0.0008332994377664945,-0.12948985076878827,-0.032871848952011895
-1.4767157425035362,0.0010947482740354736,0.7173644271920353,0.0019783826314306464,-0.06614066279762308,-0.013291105599973695
-1.4579085486246381,0.0011166815696157931,0.785762549301994,0.00031120647431357834,-0.1289502364134471,-0.032665859512512316
-1.4375002169977393,0.001137054789925447,0.8454468098903601,0.0018535747417628699,-0.06633248335230783,-0.013378979485733763
-1.4155188164227792,0.0011575941617343272,0.911504297693362,0.0003168631545425606,-0.12809326453748576,-0.03246126873628445
-1.3920032357400558,0.0011792625511840276,0.9681738635735347,0.001943903060651628,-0.06628474029308805,-0.013399576843806865
-1.3669727790213615,0.0012031738472435176,1.0324096655390569,0.0004431338622033608,-0.12683435407772056,-0.03214819159984482
-1.3404753704039136,0.001225125978132588,1.085531274114016,0.0017871743859977324,-0.06601312046994866,-0.01340347801786449
-1.3125318612475203,0.0012532503960094017,1.147865235772179,0.0007891348107023528,-0.125041582487322,-0.03167979610815935
-1.2831864419165866,0.001280900599848229,1.197676458858544,0.0017492353980489885,-0.06541054643489759,-0.01334200321557435
-1.2524793735839703,0.001304534821976991,1.256902795914821,0.0006432065615215902,-0.12270076452467639,-0.031117228390289846
-1.2204407051747699,0.001338146339574716,1.3042003457272664,0.0025474277492308493,-0.06413755449853864,-0.01304241423945242
-1.1870654970179024,0.0013752303983678232,1.363108874888827,0.0006694049398006792,-0.11965845344795961,-0.030381972293382693
-1.1524206291660763,0.0013841217768897525,1.4057719680466532,0.00029200554740426934,-0.06263481959693817,-0.012973696687150843
-1.1165167578060438,0.001396957157841971,1.46332572654625,0.0007262567130796947,-0.11565671908233814,-0.02936970844372248
-1.0794149259033183,0.001420005905406913,1.50160912670376,0.0011090663981416999,-0.06069648333949809,-0.012609258831859019
-1.0411239354477357,0.0014448423956411158,1.55799800802906,0.0008935674709209316,-0.11072921150598047,-0.02813139808621261
-1.0016987885967594,0.0014654699939583842,1.5923357404635772,0.0007723502650550061,-0.05817150916034815,-0.01221706596550843
-0.9611484987279897,0.0014941344837702034,1.6475469502761606,0.0013153067347861625,-0.10477247809060437,-0.026610290308781735
-0.9195285556595401,0.0015209601506489588,1.6779064652823352,0.0006252453774155054,-0.05504179779835416,-0.01170608657665944
-0.8768499375291523,0.0015445685116186826,1.7317499296557617,0.001059919108760804,-0.09776215593067766,-0.02488109002574225
-0.833172703412814,0.0015637809092937285,1.7577948395979375,0.00027356849280988504,-0.05123466689476523,-0.011075524209319338
-0.7885041020292529,0.0015842124481422856,1.8106324976472874,0.0010470467262607755,-0.0896090706029698,-0.02284674808106063
-0.7428941999114552,0.0016004378695324147,1.833094991793995,-6.291977556050763e-05,-0.04670968850113367,-0.010303711190657103
